time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-13T20:50:46.690Z,46.882,-112.6265,6.28,1.31,ml,10,110,0.076,0.08,mb,mb80309834,2018-09-13T21:38:09.320Z,"9km SSE of Lincoln, Montana",earthquake,0.32,0.71,0.114,3,reviewed,mb,mb
2018-09-13T20:41:15.460Z,37.6101667,-118.9431667,0.51,0.31,md,5,190,0.01489,0.02,nc,nc73084055,2018-09-13T20:51:18.934Z,"4km SE of Mammoth Lakes, CA",earthquake,2.44,0.61,0.326,4,reviewed,nc,nc
2018-09-13T20:41:12.287Z,39.4021,-120.1677,10.3,0.8,ml,11,62.59,0.114,0.1478,nn,nn00656405,2018-09-13T22:58:55.082Z,"8km N of Truckee, California",earthquake,,1.8,0.33,4,reviewed,nn,nn
2018-09-13T20:40:58.572Z,68.7948,-148.3516,0,1.5,ml,,,,0.82,ak,ak20253505,2018-09-13T20:44:54.730Z,"137km NW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-13T20:39:26.470Z,33.8836667,-117.5046667,-0.53,0.87,ml,34,70,0.04758,0.27,ci,ci38059175,2018-09-13T20:58:15.102Z,"2km ENE of Home Gardens, CA",quarry blast,0.56,31.61,0.135,5,reviewed,ci,ci
2018-09-13T20:39:08.416Z,61.7465,-149.7042,31.7,1.2,ml,,,,0.61,ak,ak20253501,2018-09-13T20:52:07.205Z,"14km NNW of Meadow Lakes, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-13T20:38:30.757Z,69.3665,-146.4798,1.4,1.9,ml,,,,0.68,ak,ak20253499,2018-09-13T20:41:32.716Z,"122km SE of Prudhoe Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T20:33:05.832Z,38.4511,-118.2207,5.6,0.4,ml,4,162.68,0.055,0.005,nn,nn00656404,2018-09-13T22:49:39.031Z,"36km ESE of Hawthorne, Nevada",earthquake,,19,0,1,reviewed,nn,nn
2018-09-13T20:27:26.620Z,18.2181,-67.2093,8,2.04,md,4,278,0.234,0.17,pr,pr2018256016,2018-09-14T00:48:03.370Z,"7km WNW of Mayaguez, Puerto Rico",earthquake,1.13,1.82,0.11,4,reviewed,pr,pr
2018-09-13T20:17:21.760Z,33.4973333,-116.7943333,4.11,0.36,ml,18,174,0.01582,0.07,ci,ci38059151,2018-09-13T20:29:20.164Z,"9km NE of Aguanga, CA",earthquake,0.18,0.22,0.09,6,reviewed,ci,ci
2018-09-13T20:11:48.310Z,38.813,-122.8185,2.63,1.26,md,39,50,0.009307,0.07,nc,nc73084045,2018-09-14T01:20:04.846Z,"7km NW of The Geysers, CA",earthquake,0.2,0.36,0.2,12,reviewed,nc,nc
2018-09-13T20:10:56.450Z,33.496,-116.793,4.01,0.85,ml,34,45,0.01744,0.13,ci,ci38059135,2018-09-13T20:21:13.670Z,"9km NE of Aguanga, CA",earthquake,0.15,0.35,0.097,20,reviewed,ci,ci
2018-09-13T20:09:58.121Z,69.6638,-144.0823,0.9,1.8,ml,,,,0.9,ak,ak20253496,2018-09-13T20:15:14.504Z,"55km SSW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-13T20:07:48.524Z,60.2132,-140.9743,14.2,0.9,ml,,,,0.31,ak,ak20253495,2018-09-13T20:13:33.603Z,"82km ENE of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-13T20:04:46.904Z,39.5855,-120.6535,0,0.4,ml,6,197.69,0.348,0.2011,nn,nn00656403,2018-09-13T22:46:34.381Z,"15km E of Downieville, California",earthquake,,0,0.31,2,reviewed,nn,nn
2018-09-13T20:03:25.110Z,37.654,-118.8926667,1.02,0.22,md,8,194,0.01014,0.03,nc,nc73084040,2018-09-13T20:46:47.703Z,"8km ENE of Mammoth Lakes, CA",earthquake,0.86,0.37,0.119,6,reviewed,nc,nc
2018-09-13T20:03:14.600Z,59.7259,-152.5388,77.1,1.6,ml,,,,0.6,ak,ak20253493,2018-09-13T20:13:33.401Z,"40km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-13T20:01:32.119Z,68.7149,-147.5034,0,2.6,ml,,,,0.71,ak,ak20252886,2018-09-13T20:13:33.185Z,"103km NW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T19:52:57.890Z,33.4998333,-116.793,4.09,0.55,ml,25,81,0.01393,0.11,ci,ci38059095,2018-09-13T20:10:34.072Z,"9km NE of Aguanga, CA",earthquake,0.2,0.27,0.104,7,reviewed,ci,ci
2018-09-13T19:48:49.910Z,37.6408333,-118.936,4.79,0.36,md,11,106,0.02534,0.03,nc,nc73084030,2018-09-13T20:41:46.234Z,"4km E of Mammoth Lakes, CA",earthquake,0.49,0.57,0.08,9,reviewed,nc,nc
2018-09-13T19:45:40.236Z,68.6489,-148.399,0.7,1.4,ml,,,,0.75,ak,ak20252880,2018-09-13T19:57:37.758Z,"131km WNW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T19:41:50.570Z,32.9326667,-116.2715,9.23,1.35,ml,48,64,0.1332,0.19,ci,ci38059079,2018-09-13T20:18:44.115Z,"27km SSW of Ocotillo Wells, CA",earthquake,0.19,0.64,0.156,30,reviewed,ci,ci
